ds,yhat,yhat_lower,yhat_upper
2024-01-01,120.5,120.49999999999999,120.50000000000001
2024-01-02,115.89999283333334,115.89999283333333,115.89999283333336
2024-01-03,118.39996616666667,118.39996616666666,118.39996616666669
2024-01-04,118.39993805,118.39993804999999,118.39993805000002
2024-01-05,118.39990993333335,116.10350228583664,121.47329151893953
2024-01-06,118.39988181666666,110.81742108429731,128.19266982443747
2024-01-07,118.3998537,102.93559560231687,136.5005320623921
2024-01-08,118.39982558333334,93.5713146871553,145.61146328381855
2024-01-09,118.39979746666667,82.31553013375476,157.8241539328563
2024-01-10,118.39976935,69.91502714686611,172.27037758683107
2024-01-11,118.39974123333333,54.51691593958625,186.7357476414145
2024-01-12,118.39971311666667,38.98005328179289,201.86706321068147
2024-01-13,118.39968499999999,20.06744411951444,220.65541328623914
2024-01-14,118.39965688333332,3.1445596225421233,239.98966170618112
2024-01-15,118.39962876666667,-13.131613574708375,258.2851428172573
2024-01-16,118.39960065,-29.329831001545937,281.37419513393644
2024-01-17,118.39957253333333,-50.35101247107145,305.45379115273323
2024-01-18,118.39954441666667,-71.34611680256012,325.2738778592804
2024-01-19,118.3995163,-93.99114450885502,346.0257565813355
2024-01-20,118.39948818333333,-117.23258199114694,375.32987853201115
2024-01-21,118.39946006666668,-145.4683413406206,397.5921333503002
2024-01-22,118.39943195,-165.48685876650268,419.57308956745584
2024-01-23,118.39940383333332,-191.5531839502912,446.6738117414921
2024-01-24,118.39937571666667,-216.27272824722465,473.4415626913449
2024-01-25,118.3993476,-245.9052249347415,496.18246325138045
2024-01-26,118.39931948333333,-275.8190848957747,518.2827207173483
2024-01-27,118.39929136666666,-305.4937162241338,548.9502188452343
2024-01-28,118.39926325,-334.0113637474185,578.8111471963588
2024-01-29,118.39923513333332,-355.45769756514517,598.5241594120705
2024-01-30,118.39920701666665,-383.4442407755667,628.2470681992161
2024-01-31,118.3991789,-413.0483465036136,659.5051455074257
2024-02-01,118.39915078333333,-440.88681817539816,686.1901524338666
2024-02-02,118.39912266666666,-478.7922950205355,724.5808439912532
2024-02-03,118.39909455,-512.4994849429401,761.919246745414
