ds,yhat,yhat_lower,yhat_upper
2024-01-01,54.173859199999995,52.454091153138975,56.03108619591307
2024-01-02,55.392082826666666,53.58672262645385,57.259105221322166
2024-01-03,56.610314110966335,54.73758709461029,58.44431810891702
2024-01-04,57.82854524541545,55.983662040414885,59.7267154486886
2024-01-05,59.04677637986457,57.23040919191221,60.75887365212877
2024-01-06,60.26500751431369,58.490796474975426,62.108164734381475
2024-01-07,61.48323864876282,59.70021125758354,63.24847767559259
2024-01-08,62.701469783211934,60.88511856821145,64.41135101027272
2024-01-09,63.91970091766105,62.10745153867383,65.70285489142675
2024-01-10,65.13793205211017,63.31522937042811,66.9489610688773
2024-01-11,66.35616318655929,64.5733669439346,68.1186079406516
2024-01-12,67.57439432100843,65.83858411790567,69.3944197521321
2024-01-13,68.79262545545754,66.85515177896026,70.6767547341917
2024-01-14,70.01085658990665,68.22079067950774,71.82520512594824
2024-01-15,71.22908772435578,69.43190914189954,72.89024791652523
2024-01-16,72.44731885880489,70.67442865255383,74.31629433847615
2024-01-17,73.66554999325403,71.83697707307667,75.60883856996455
2024-01-18,74.88378112770314,73.04538956308603,76.71489960291196
2024-01-19,76.10201226215226,74.31290933522146,78.0471836835218
2024-01-20,77.32024339660138,75.48702802053582,79.19754144849183
2024-01-21,78.5384745310505,76.67970965188579,80.40385430803134
2024-01-22,79.75670566549962,77.89535665570585,81.41544378839514
2024-01-23,80.97493679994874,79.03484155725724,82.8473213877541
2024-01-24,82.19316793439786,80.45416991046599,83.93096610772331
2024-01-25,83.41139906884699,81.52812977727282,85.1655001289782
2024-01-26,84.6296302032961,82.77513950661582,86.34515531729369
2024-01-27,85.84786133774521,84.04267103316708,87.64505441812278
2024-01-28,87.06609247219434,85.23437624345587,88.9050410001512
2024-01-29,88.28432360664347,86.52412132933158,90.05310145832696
2024-01-30,89.5025547410926,87.75681530117299,91.33272338592282
2024-01-31,90.72078587554171,88.90727097797628,92.59993476959461
2024-02-01,91.93901700999083,90.2009229943193,93.7650445163164
2024-02-02,93.15724814443995,91.3821524540746,95.00442997931876
2024-02-03,94.37547927888907,92.56782737997342,96.24323026266059
