ds,yhat,yhat_lower,yhat_upper
2022-01-31,49.805993,49.46568847261603,50.18999660485324
2022-02-28,52.26976223032904,51.91112596213824,52.67390811728013
2022-03-31,54.99750686955322,54.62125636145904,55.37090855984637
2022-04-30,57.63725974653223,57.25953231075722,58.007991943929085
2022-05-31,60.365004386954105,59.99743932266048,60.776799923809975
2022-06-30,63.00518132759288,62.64422183324615,63.373367064674646
2022-07-31,65.7355551549382,65.35604447103671,66.12454794704995
2022-08-31,68.46626154226966,68.07391527239605,68.82440858135902
2022-09-30,71.70783397442347,71.35798013624807,72.08275868677059
2022-10-31,75.05745882172586,74.67142583070078,75.42948603560761
2022-11-30,78.29903125559248,77.91784372363861,78.66339621160375
2022-12-31,81.64865610334631,81.26943488070567,82.0798300503071
2023-01-31,84.75468112835337,84.38658778900593,85.1048642995084
2023-02-28,87.1728359070251,86.80145830436025,87.53107420726359
2023-03-31,89.85007869741682,89.45098596128899,90.21925460209145
2023-04-30,92.44095881647799,92.09203721372397,92.81683021505768
2023-05-31,95.11828964673778,94.7332510431255,95.4966094890573
2023-06-30,97.70925496608331,97.34854354830269,98.08464101037382
2023-07-31,100.29363552025112,99.9332697061291,100.67194813129413
2023-08-31,102.87333164632446,102.4780049041683,103.25302165106396
2023-09-30,105.36981176833095,104.96428324122842,105.7499507673503
2023-10-31,107.94950789440429,107.56041280112595,108.3261289811336
2023-11-30,110.44598801641077,110.06331773283704,110.81844046281275
2023-12-31,113.02568414248415,112.66002589840113,113.3774506612889
2024-01-31,115.60538026855748,115.24802804622142,116.02089222470222
2024-02-29,118.0186443864971,117.6294033895794,118.47585573631612
2024-03-31,120.59834051257043,120.12888768291587,121.12339261257081
2024-04-30,123.09482063457693,122.51808038295103,123.77224337386845
2024-05-31,125.67451676065026,124.87917972057699,126.47474310379806
2024-06-30,128.17099688265677,127.23391696790397,129.19389732238795
2024-07-31,130.7506930087301,129.51630922145716,132.07858131420386
2024-08-31,133.33038913480348,131.86793290336232,134.81974570386814
2024-09-30,135.82686925680997,133.98494409050562,137.62237129211832
2024-10-31,138.40656538288334,136.41702856664682,140.4750514956438
2024-11-30,140.90304550488977,138.4392989741255,143.37765882431356
2024-12-31,143.48274163096318,140.87814826025712,146.23230832707324
